Condition,Voice_Sex,Voice,duration_ms,pitch_mean,pitch_stdev,intonation,glide,formant_dispersion,HNR,jitter,shimmer,alpha_ratio,Trustworthiness_VAS,Dominance_VAS,Attractiveness_VAS,Trustworthiness_z,Dominance_z,Attractiveness_z
AW,Male,gm_M15,433.6961451,93.24659035,8.410560404,28.81465158,-16.50314955,1073.456686,6.659871324,0.015124664,0.034517244,2.066330157,240.16129032258064,274.4166666666667,245.81666666666666,-0.1467732460229521,0.25469349854235623,0.2073595448613513
AW,Male,gm_M16,412.6530612,116.3334739,92.01900645,390.0156227,-77.54894976,921.3003146,13.88022736,0.006740705,0.040607788,2.154163301,275.9193548387097,204.13333333333333,257.8,0.13693741462048906,-0.37616661245886374,0.4046488410035082
AW,Male,gm_M17,388.3900227,106.9029651,11.52602361,41.59796213,6.945616518,977.2397106,6.883582222,0.022579218,0.065614422,1.730386363,250.3709677419355,268.2,243.46666666666667,-0.07244236368639381,0.15428575692550003,0.21529514154806165
AW,Male,gm_M18,396.1451247,100.0830609,3.303356926,9.64922963,-0.712163227,965.7477543,7.448232524,0.005664627,0.034136624,1.624457423,257.06451612903226,305.75,216.6,-0.04806482791714056,0.48638351545420183,-0.02082031210827673
AW,Male,gm_M19,526.2358277,86.02365098,8.024545116,31.01258921,-7.408982484,974.7765122,6.786089468,0.016646807,0.02013947,1.657286123,234.75806451612902,277.8333333333333,261.81666666666666,-0.30792220958522226,0.28059643487116925,0.31397439028064783
AW,Male,gm_M20,393.9455782,112.7768761,4.098579992,16.64246315,-8.173246417,972.2735778,12.42082595,0.004059819,0.028919995,1.99523827,279.85483870967744,211.06666666666666,235.8,0.1740197732345831,-0.32433751933249777,0.1114368970133901
AW,Male,gm_M21,404.6485261,86.77838124,5.852274694,21.91189469,-12.50101759,927.9967102,5.278330747,0.011968575,0.050594938,1.602266849,231.80645161290323,338.03333333333336,223.21666666666667,-0.24835494202047922,0.7666409265068701,0.03598074502563612
AW,Male,gm_M22,437.2335601,93.59742421,3.299296086,17.41330074,-1.909211588,987.7783071,6.575157359,0.010486785,0.044200722,1.544500441,270.61290322580646,263.3,240.31666666666666,0.10780834211460266,0.11293183084026566,0.11979161834984836
AW,Male,gm_M23,416.553288,98.18635976,2.960485364,13.95662511,0.240647272,1078.710003,10.19644065,0.010297709,0.042324976,1.549430895,244.98387096774192,207.78333333333333,205.93333333333334,-0.14565562828039005,-0.3521066593392397,-0.20266044573140907
RS,Female,ARD22,2290.816327,190.0820773,32.53503585,162.0201118,-109.1975261,1050.814398,12.30027183,0.01053975,0.031066535,1.722549414,193.58333333333334,165.3,136.76666666666668,-0.5222607446300669,-0.5699462878227946,-0.846854227703526
RS,Female,CFY08,2267.528345,177.6028133,35.71111162,187.5997572,-110.2157165,968.2232342,11.6956816,0.01265893,0.036698191,1.604908093,338.3333333333333,329.01666666666665,236.03333333333333,0.7243924353121252,0.7223089667309484,0.09258407756642917
RS,Female,CMN17,2540.793651,224.361453,98.68568715,514.4051988,-179.9029505,1041.144654,10.30234804,0.013869218000000001,0.039624044,1.854119855,311.7,299.8833333333333,221.28333333333333,0.4085322079593333,0.4848274498233762,-0.016293412155557567
RS,Female,DGA30,2674.240363,209.8347566,44.21684123,271.1255569,-78.01251409,1003.766023,9.37519767,0.010973042,0.036664611,1.447605503,273.96666666666664,393.05,223.53333333333333,0.05971192713445638,1.2853355688817512,-0.003606299909355669
RS,Female,DKY26,2247.845805,233.4442552,37.32069563,232.2751334,-182.4790882,1063.790437,13.98823034,0.00936765,0.03818983,1.55143678,271.6333333333333,216.43333333333334,239.51666666666668,0.1534145053560125,-0.16462573372532843,0.1929866246380731
RS,Female,JJE21,2726.439909,188.3755162,32.33307711,166.0750618,-101.7626385,993.7367505,10.82803282,0.009839058,0.026560154,1.76326678,273.46666666666664,237.35,224.36666666666667,0.036425204335645056,-0.04698224649766545,-0.04161135273450662
RS,Female,JRA04,2394.058957,191.6999881,17.76936136,91.53395212,-47.09533796,1010.477756,12.70696411,0.009279054,0.026831374,1.777251197,264.96666666666664,260.31666666666666,223.46666666666667,0.05832239992766409,0.13913431207552074,-0.015226151159206969
RS,Female,KDE26,2362.222222,182.4036843,72.6910578,492.7947644,-104.4666051,988.9973032,9.713452921,0.013760402,0.046074035,1.41997004,326.71666666666664,295.46666666666664,262.55,0.6306787277475936,0.4436774874626972,0.38312415146007484
RS,Female,MKY08,2460.521542,190.2234897,29.44875209,184.1564721,56.75053471,956.8602366,9.044662549,0.012363877,0.036505935,1.467145498,316.8333333333333,361.8,193.11666666666667,0.5234928747661102,0.9851074082640431,-0.29694604081101483
RS,Female,NGE07,2636.00907,211.7599403,52.37593146,235.5290465,-131.6369382,1025.25739,10.17461069,0.010794808,0.034369276,1.683163087,328.1166666666667,211.05,327.4166666666667,0.6612434192307712,-0.2424171051026681,1.0164945159364753
RS,Female,SGN09,2571.22449,223.7415595,54.85169566,484.3908131,-50.31882529,1093.143861,14.45939787,0.009681742,0.025919384,1.313454769,226.15,317.71666666666664,185.6,-0.24885791799019125,0.634173716354363,-0.3669271412301848
RS,Female,SHA04,2308.45805,194.600681,45.6381077,268.7463788,-68.77024116,989.9321607,11.09364211,0.010609889,0.038682577,1.562628154,282.8666666666667,306.06666666666666,229.55,0.2740929336595609,0.5547383396006218,0.014001610318202197
RS,Female,TRE11,2350.136054,241.1529522,16.39817327,115.653715,-12.78588418,1065.965945,15.19842567,0.010347182,0.027048034,2.0144395,189.61666666666667,92.95,217.15,-0.5212586397354668,-1.1561902880436263,-0.06304386850284797
RS,Female,gm_F02,2462.040816,241.2070361,34.14368763,235.0079023,-39.80776467,1058.395477,14.47788437,0.007641262,0.022541707,1.551503231,284.78333333333336,227.68333333333334,255.76666666666668,0.3204520595551529,-0.06332625331927538,0.2869389785478947
RS,Female,gm_F03,2575.555556,195.765912,44.76158452,217.572936,-10.17587798,1104.322079,10.09255632,0.018340082,0.045725981,1.66988399,238.5,123.98333333333333,257.85,-0.14804490922061053,-0.9463279092664714,0.32089540539229056
RS,Female,gm_F04,2132.176871,207.0949659,18.8076764,89.05350837,-2.380879353,1070.838856,13.88686713,0.009595173,0.026326259,2.288752179,186.25,119.33333333333333,198.53333333333333,-0.6336174270678356,-1.0215806682142223,-0.26108301084094954
RS,Female,gm_F05,2078.956916,234.7702431,36.94909197,218.286273,-38.38392977,1065.598109,11.1742299,0.008888195,0.026215695,1.514813904,197.2,347.03333333333336,155.91666666666666,-0.5832990918964481,0.8434003165890791,-0.6716200260274676
RS,Female,gm_F06,2496.077098,242.4478585,55.24136348,491.5136158,21.69575896,1083.040533,14.93888455,0.008234384,0.026813052,1.657675208,250.03333333333333,287.1666666666667,211.46666666666667,-0.036780402786859234,0.4002507474234866,-0.14482180436405823
RS,Female,gm_F08,2252.086168,198.0613105,52.40554525,270.0112747,157.2683407,1144.045287,8.41889996,0.018239797,0.040836829,1.827347174,254.08333333333334,239.98333333333332,180.3,0.01518952479280873,0.01044438415875249,-0.4458055051178464
RS,Female,gm_F09,2380.952381,217.2194041,31.34121527,259.0201673,104.9430403,1077.951036,14.26874436,0.011610266,0.019900883,2.108816638,162.03333333333333,107.7,148.66666666666666,-0.8390457446036957,-1.0730535667751573,-0.7409683172555644
